ticker,call_date,transcript_path,positive,negative,neutral,return_1d,return_5d
AAPL,2016-04-26,data\raw\data\transcripts\AAPL\2016-Apr-26-AAPL.txt,0.22175832092761993,0.20504529774188995,0.5731964707374573,-0.0625776301180947,-0.08787729368321873
AAPL,2016-01-26,data\raw\data\transcripts\AAPL\2016-Jan-26-AAPL.txt,0.20236551761627197,0.09995004534721375,0.6976844072341919,-0.06570665946090537,-0.05510551097489935
AAPL,2016-07-26,data\raw\data\transcripts\AAPL\2016-Jul-26-AAPL.txt,0.22468800842761993,0.07728828489780426,0.6980236768722534,0.064963013360259,0.08079034837211108
AAPL,2016-10-25,data\raw\data\transcripts\AAPL\2016-Oct-25-AAPL.txt,0.24572841823101044,0.06612877547740936,0.6881428360939026,-0.02249517373633081,-0.05716717596662346
AAPL,2017-08-01,data\raw\data\transcripts\AAPL\2017-Aug-01-AAPL.txt,0.255285382270813,0.04311564564704895,0.7015989422798157,0.047250644942101294,0.0668444149706997
AAPL,2017-01-31,data\raw\data\transcripts\AAPL\2017-Jan-31-AAPL.txt,0.31503793597221375,0.0729566365480423,0.612005352973938,0.060980618003992904,0.0838894703368509
AAPL,2017-05-02,data\raw\data\transcripts\AAPL\2017-May-02-AAPL.txt,0.28142648935317993,0.08709810674190521,0.6314753890037537,-0.0030503713072140837,0.04392908507887827
AAPL,2017-11-02,data\raw\data\transcripts\AAPL\2017-Nov-02-AAPL.txt,0.31512537598609924,0.03397858887910843,0.6508959531784058,0.026113709585496414,0.04621976371148517
AAPL,2018-02-01,data\raw\data\transcripts\AAPL\2018-Feb-01-AAPL.txt,0.1996963769197464,0.058467213064432144,0.741836428642273,-0.043390266121440924,-0.07527735451520179
AAPL,2018-07-31,data\raw\data\transcripts\AAPL\2018-Jul-31-AAPL.txt,0.25703391432762146,0.08733250200748444,0.6556335687637329,0.05890988307291867,0.08839120016254154
AAPL,2018-05-01,data\raw\data\transcripts\AAPL\2018-May-01-AAPL.txt,0.3064870536327362,0.043731722980737686,0.6497812867164612,0.04417493625763913,0.10023630423483021
AAPL,2018-11-01,data\raw\data\transcripts\AAPL\2018-Nov-01-AAPL.txt,0.2449556291103363,0.07667876034975052,0.6783656477928162,-0.06633069563181992,-0.05851211970022674
AAPL,2019-04-30,data\raw\data\transcripts\AAPL\2019-Apr-30-AAPL.txt,0.28065982460975647,0.08052222430706024,0.6388179659843445,0.049085400221319464,0.010913273872866336
AAPL,2019-01-29,data\raw\data\transcripts\AAPL\2019-Jan-29-AAPL.txt,0.2445528507232666,0.16343183815479279,0.592015266418457,0.06833471835257021,0.126066685687944
AAPL,2019-07-30,data\raw\data\transcripts\AAPL\2019-Jul-30-AAPL.txt,0.29550307989120483,0.05551405996084213,0.6489828824996948,0.02040401511224066,-0.05642303457955111
AAPL,2019-10-30,data\raw\data\transcripts\AAPL\2019-Oct-30-AAPL.txt,0.2710552215576172,0.041710611432790756,0.6872341632843018,0.0226097391297988,0.05746934561572492
